
	Material	Material Description
	      Unrestricted	Unit

	T02450	04045858DRC.000 C-TAP ADAPTER, DART FONT
	               50	ST


	T02453	ARROW-HANAN PEITELÄTKÄ, RST 1,5 MM, 120
	              117	ST


	T02471	ARROW-HANAN PEITELÄTKÄ, 1,5  MM RST, 100
	              111	ST


	T02472	OHTMKKH OLUTHANAN TULPPA, PUN., KETJULLA
	               84	ST


	T02475	POTKURI MAC-435 OLUTANTURIIN (HYRRÄ)
	               20	ST


	T02482	147619000 FAUCET WRENCH, CORN. BT-400
	                7	ST


	T02493	O-RENGAS, ISO, PUNAINEN, MAC-435 ANTURI
	              166	ST


	T03002	TE03014 SANKEY 5L CLEAN BOTTLE 8016101KC
	                1	ST


	T03005	520102 FLOW RESISTOR 3/8"X 5/16"
	               66	ST


	T03008	METALLITIIVISTE TYPPILETKUUN, BEAMISH
	               99	ST


	T03015	FLOW RESISTOR 3/8"X 3/8"
	               75	ST


	T03030	40301082 NOZZLE O-RING, RESTRICTOR DISC
	               13	ST


	T03034	PTA PESUTULPPA, A-MALLI, RST
	                3	ST


	T04002	PF000042-A CO2 LOW PRESSURE HOSE, 3 M
	               74	ST


	T04006	PDV50507 DOOR HANDLE, DC LIERHERR
	               75	ST


	T04008	P0003674-A  POWERCORD EU, DAVID CG
	               23	ST


	T04009	P0001329-A DTA HANDLE ASSY BLACK KNOB
	              166	ST


	T04010	NC2447 JG-STRAIN RELIEF BOOT 3/8"
	              200	ST


	T05025	VEDEN SISÄÄNTULOLIITIN, RST, DOSATRON
	                8	ST


	T05100	112-916 ONE WAY BEER LINE-S-SYSTEM
	              200	ST


	T06009	361003200 ELBOW 90 DEGREES, LOOP
	                5	ST


	T06033	1951 UFB1 COVER FRONT FOR BUTTON
	               82	ST


	T06036	149799020 CHECK VALVE DOUBLE 7/16Mx7/16F
	                4	ST


	T07522	FLARE FITTING WASHER
	              570	ST


	T09003	300-0055 HINTALISTA, MDC60 L=463MM
	              600	ST


	T09007	VALOSUOJA PROF. C5, PITUUS 1575 MM, OPAL
	               11	ST


	T09027	300-0056 HINTALISTA, MDC87 L=730MM
	              646	ST


	T09028	HINTA-/MAINOSLISTA 820 MM, NORPE DELI 90
	               25	ST


	T09033	KARTIOKUMI PUHALLINMOOTT. AKSELIIN, C2
	                2	ST


	T09047	KARTIOKUMI PUHALLINMOOTT. AKSELIIN, C2
	               28	ST


	T09062	ABLOY-RIIPPULUKKO, SININEN + AVAIMET (2)
	               87	ST


